"Subtype","Provider","Name","Town","Clients","Grades published","Wellbeing support","Care and support","Setting","Staffing","Leadership","Last_inspection_Date","Registered","Complaints upheld since 21/22","Enforcements since 21/22"
NA,"Voluntary or Not for Profit","Source Housing Support Service","Carluke","Adults","04/03/2020",6,6,NA,6,5,"15/01/2020","2004_9",0,0
NA,"Voluntary or Not for Profit","Cloverfield Grove","Aberdeen","Adults","18/12/2019",5,5,NA,4,5,"20/11/2019","2004_8",0,0
NA,"Voluntary or Not for Profit","Inspire Aberdeen North","Aberdeen","Adults","12/02/2020",4,4,NA,5,4,"19/12/2019","2004_9",0,0
NA,"Voluntary or Not for Profit","Deaf Action - Outreach Visiting Support Service","Edinburgh","Adults","22/11/2019",5,5,NA,5,4,"17/10/2019","2004_7",0,0
NA,"Voluntary or Not for Profit","Link Housing Association Ltd - Link Sheltered Housing Service","Falkirk","Adults","14/07/2016",5,5,NA,5,5,"23/03/2016","2004_8",0,0
NA,"Voluntary or Not for Profit","Blackwood Care - St. Leonard's Court","Ayr","Adults","14/04/2023",5,5,NA,5,5,"24/02/2023","2004_8",1,1
NA,"Voluntary or Not for Profit","Blackwood North East Care and Support Services","Aberdeen","Adults","03/05/2023",5,5,NA,5,4,"21/04/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","Shakti Women's Aid - Housing Support Service","Edinburgh","Adults","21/01/2019",5,5,NA,5,5,"26/11/2018","2004_8",0,0
NA,"Local Authority","Tenancy Support Service Bellshill","Bellshill","Adults","22/12/2017",5,5,NA,5,5,"29/11/2017","2004_10",0,0
NA,"Local Authority","Tenancy Support Service Airdrie","Airdrie","Adults","15/11/2017",5,5,NA,5,5,"13/10/2017","2004_10",0,0
NA,"Local Authority","Tenancy Support Service Coatbridge","Coatbridge","Adults","01/11/2017",5,5,NA,5,5,"04/10/2017","2004_10",0,0
NA,"Local Authority","Tenancy Support Service Cumbernauld","Cumbernauld","Adults","07/11/2023",5,5,NA,5,5,"03/10/2023","2004_10",0,0
NA,"Local Authority","Tenancy Support Service Motherwell","Motherwell","Adults","22/02/2019",5,5,NA,4,4,"16/01/2019","2004_10",0,0
NA,"Local Authority","Tenancy Support Service Wishaw","Wishaw","Adults","21/09/2016",5,5,NA,4,5,"03/08/2016","2004_7",0,0
NA,"Local Authority","Care and Support Service (South)","Hamilton","Adults","01/08/2019",4,4,NA,5,4,"20/05/2019","2004_8",0,0
NA,"Voluntary or Not for Profit","Potential Living","Motherwell","Adults","15/05/2023",5,6,NA,5,5,"17/04/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","Aberdeen Foyer - Supported Accommodation","Aberdeen","Adults","22/02/2019",5,5,NA,5,4,"12/02/2019","2004_8",0,0
NA,"Voluntary or Not for Profit","Support for Ordinary Living","Wishaw","Adults","24/03/2023",6,5,NA,5,5,"28/02/2023","2004_9",1,1
NA,"Local Authority","City of Edinburgh Council Bingham and Randolph","Edinburgh","Adults","22/05/2019",5,5,NA,5,4,"11/04/2019","2004_9",0,0
NA,"Local Authority","City of Edinburgh Council Family and Household Support South West","Edinburgh","Adults","06/02/2017",5,5,NA,5,4,"19/01/2017","2004_9",0,0
NA,"Local Authority","City of Edinburgh Council Family and Household Support South East","Edinburgh","Adults","28/11/2017",5,5,NA,5,4,"19/10/2017","2004_9",0,0
NA,"Local Authority","City of Edinburgh Council - Leith Street and Castlecliff","Edinburgh","Adults","20/11/2023",4,4,NA,4,4,"25/10/2023","2004_9",0,0
NA,"Local Authority","Support Works","Edinburgh","Adults","08/03/2023",5,5,NA,5,5,"09/02/2023","2004_9",0,0
NA,"Local Authority","Positive Steps","Edinburgh","Adults","10/01/2023",6,5,NA,5,5,"06/12/2022","2004_9",0,0
NA,"Local Authority","North West Home Care Service Cluster 1","Edinburgh","Adults","22/08/2023",5,4,NA,5,5,"18/05/2023","2004_9",0,0
NA,"Local Authority","South East Home Care Service Southern","Edinburgh","Adults","08/07/2020",5,5,NA,4,4,"25/03/2020","2004_9",0,0
NA,"Local Authority","South West Home Care Service Pentlands","Edinburgh","Adults","05/06/2023",5,4,NA,5,5,"03/05/2023","2004_9",1,1
NA,"Voluntary or Not for Profit","Partners for Inclusion","Kilmarnock","Adults","06/05/2022",5,4,NA,4,4,"14/03/2022","2004_11",0,0
NA,"Local Authority","South West Home Care Service Canal","Edinburgh","Adults","19/01/2023",5,5,NA,4,5,"20/12/2022","2004_9",0,0
NA,"Local Authority","North East Home Care Service East","Edinburgh","Adults","12/05/2023",5,5,NA,4,5,"12/09/2019","2004_9",0,0
NA,"Voluntary or Not for Profit","Jericho Society Dundee Housing Support","Dundee","Adults","22/09/2023",5,6,NA,5,4,"25/07/2023","2004_7",0,0
NA,"Voluntary or Not for Profit","Glasgow Connect","Glasgow","Adults","14/09/2023",4,4,NA,4,4,"18/08/2023","2004_8",1,1
NA,"Voluntary or Not for Profit","Renfrewshire Supported Living Initiative","Paisley","Adults","18/02/2020",6,6,NA,6,5,"01/11/2019","2004_10",0,0
NA,"Voluntary or Not for Profit","C-Change Scotland","Glasgow","Adults","28/02/2023",5,5,NA,5,5,"19/01/2023","2004_10",1,1
NA,"Voluntary or Not for Profit","Castlehill Housing Support Services","Aberdeen","Adults","01/10/2018",5,5,NA,5,5,"16/08/2018","2004_8",0,0
NA,"Local Authority","Castle Douglas Community Support Services","Castle Douglas","Adults","06/12/2019",4,4,NA,4,4,"30/10/2019","2004_9",0,0
NA,"Voluntary or Not for Profit","Fair Deal","Glasgow","Adults","09/01/2023",5,6,NA,5,5,"16/10/2019","2005_7",0,0
NA,"Voluntary or Not for Profit","Real Life Options East Dunbartonshire Service","Glasgow","Adults","29/05/2023",4,5,NA,5,3,"01/05/2023","2004_9",0,0
NA,"Local Authority","Bellshill Home Support Service","Motherwell","Adults","14/02/2023",3,3,NA,2,3,"12/12/2022","2004_7",2,2
NA,"Local Authority","Coatbridge Home Support Service","Coatbridge","Adults","25/07/2023",2,2,NA,3,2,"24/05/2023","2004_7",2,2
NA,"Local Authority","Cumbernauld Home Support Service","Glasgow","Adults","31/10/2023",2,2,NA,2,2,"17/08/2023","2004_7",1,1
NA,"Local Authority","Airdrie Home Support Service","Airdrie","Adults","16/11/2023",2,2,NA,4,3,"28/09/2023","2004_8",2,2
NA,"Local Authority","Community Alarm Service","Lanarkshire","Adults","19/07/2023",5,3,NA,5,4,"26/04/2023","2004_7",1,1
NA,"Local Authority","Motherwell Home Support Service","Motherwell","Adults","14/11/2023",4,3,NA,3,4,"11/10/2023","2004_7",1,1
NA,"Local Authority","Wishaw and Shotts Home Support Service","Wishaw","Adults","05/06/2023",2,2,NA,2,2,"16/05/2023","2004_7",5,5
NA,"Voluntary or Not for Profit","Home-Start Stirling","Stirling","Adults","06/05/2019",5,5,NA,5,5,"14/02/2019","2004_11",0,0
NA,"Voluntary or Not for Profit","Frontline Fife Homelessness Services","Kirkcaldy","Adults","25/04/2018",5,5,NA,5,5,"22/03/2018","2005_1",0,0
NA,"Local Authority","Care & Support Services, Dumfries & Galloway Council","Dumfries","Adults","13/09/2023",5,5,NA,5,5,"23/08/2023","2004_8",0,0
NA,"Private","Trust In Fife","Kirkcaldy","Adults","27/11/2019",5,5,NA,4,4,"23/10/2019","2004_9",0,0
NA,"Voluntary or Not for Profit","Threads","Paisley","Adults","04/08/2023",4,5,NA,5,4,"13/07/2023","2004_12",0,0
NA,"Voluntary or Not for Profit","Glasgow Supported Living Project","Glasgow","Adults","10/10/2023",5,5,NA,5,4,"11/09/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","Castlebrae Retirement plus service","Edinburgh","Adults","14/09/2023",5,5,NA,5,5,"29/08/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","Bethany Christian Trust - Kharis Court","Bathgate","Adults","11/05/2022",5,4,NA,3,3,"03/03/2022","2004_11",0,0
NA,"Voluntary or Not for Profit","Bethany Christian Trust Bethany House","Edinburgh","Adults","18/01/2018",5,5,NA,6,6,"23/11/2017","2004_11",0,0
NA,"Voluntary or Not for Profit","Bethany Christian Trust Centre","Edinburgh","Adults","22/03/2017",6,6,NA,5,5,"02/03/2017","2004_11",0,0
NA,"Voluntary or Not for Profit","Edinburgh Housing Support","Edinburgh","Adults","16/11/2017",4,4,NA,4,5,"25/10/2017","2004_12",0,0
NA,"Voluntary or Not for Profit","Bethany Christian Trust Supported Housing - Dumfries","Dumfries","Adults","25/04/2017",5,5,NA,5,5,"24/03/2017","2004_12",0,0
NA,"Voluntary or Not for Profit","YMCA Glenrothes","Glenrothes","Adults","03/06/2019",5,5,NA,5,5,"23/11/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","Abbeyfield Dunfermline Society Ltd Housing Support Service","Dunfermline","Adults","15/08/2019",4,4,NA,5,3,"23/05/2019","2004_9",0,0
NA,"Voluntary or Not for Profit","Glasgow Area 1","Glasgow","Adults","28/06/2023",4,5,NA,4,4,"11/09/2019","2004_11",0,0
NA,"Voluntary or Not for Profit","Inspire Stonehaven","Stonehaven","Adults","06/06/2023",5,5,NA,4,4,"18/05/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","Cornerstone North Aberdeenshire Housing Support","Peterhead","Adults","09/09/2020",4,4,NA,5,4,"28/01/2020","2004_9",0,0
NA,"Voluntary or Not for Profit","Cornerstone Dundee Housing Support and Care At Home","Dundee","Adults","03/03/2020",4,4,NA,4,4,"12/12/2019","2004_9",0,0
NA,"Voluntary or Not for Profit","East Dumbartonshire Services","Glasgow","Adults","29/01/2020",5,5,NA,5,5,"17/01/2020","2004_10",0,0
NA,"Voluntary or Not for Profit","Moray Services (Housing Support)","Elgin","Adults","27/03/2023",2,5,NA,5,2,"13/10/2023","2004_10",0,0
NA,"Voluntary or Not for Profit","West Dunbartonshire Services 1","Dumbarton","Adults","14/03/2023",5,5,NA,5,4,"13/12/2022","2004_9",0,0
NA,"Voluntary or Not for Profit","Cornerstone NLCS Community Support","Airdrie","Adults","24/02/2020",5,5,NA,5,5,"02/12/2019","2004_9",0,0
NA,"Voluntary or Not for Profit","Glasgow Services","Glasgow","Adults","23/02/2023",4,4,NA,4,4,"24/01/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","North Ayrshire Services","Irvine","Adults","15/03/2023",5,5,NA,5,5,"28/03/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","Inspire Ellon","Inverurie","Adults","30/07/2019",5,5,NA,5,5,"10/06/2019","2004_8",0,0
NA,"Voluntary or Not for Profit","Inspire Moray Housing Support Service","Elgin","Adults","16/05/2023",4,4,NA,4,4,"05/05/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","Centred Housing Support Service","Inverness","Adults","15/06/2020",5,5,NA,4,5,"24/02/2020","2005_2",0,0
NA,"Voluntary or Not for Profit","British Red Cross- Support at Home","Inverness","Adults","23/06/2023",5,4,NA,6,5,"02/06/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","Cantray Square Housing Support Service","Inverness","Adults","05/12/2022",5,6,NA,5,5,"03/11/2022","2005_2",2,2
NA,"Voluntary or Not for Profit","Real Life Options Lilywynd","Forfar","Adults","01/02/2023",5,5,NA,5,5,"24/01/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","Real Life Options Dunfermline Services","Dunfermline","Adults","11/09/2023",3,5,NA,3,3,"18/08/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","Gateway","Inverness","Adults","21/06/2023",5,5,NA,4,5,"30/05/2023","2004_8",1,1
NA,"Voluntary or Not for Profit","Hjaltland Housing Association Ltd","Shetland","Adults","10/11/2023",5,5,NA,5,5,"12/10/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","New Start Highland","Inverness","Adults","06/05/2019",6,6,NA,6,6,"15/03/2019","2004_9",0,0
NA,"Private","Keltic Care Limited","Inverness","Adults","23/06/2023",5,5,NA,5,5,"07/06/2023","2004_10",0,0
NA,"Private","Oakridge Support Service Ltd","Inverness","Adults","22/02/2017",5,5,NA,5,6,"13/01/2017","2004_9",0,0
NA,"Voluntary or Not for Profit","Orkney Blide Trust","Kirkwall","Adults","18/01/2017",5,5,NA,4,5,"01/12/2016","2004_8",0,0
NA,"Voluntary or Not for Profit","Key Community Supports - Highland (DM)","Invergordon","Adults","02/12/2016",5,5,NA,5,5,"04/11/2016","2004_11",0,0
NA,"Voluntary or Not for Profit","Key Community Supports - Dumfries & Galloway","Dumfries","Adults","10/08/2023",5,5,NA,5,4,"18/07/2023","2004_11",0,0
NA,"Voluntary or Not for Profit","Key Community Supports - Glasgow","Glasgow","Adults","11/08/2014",4,4,NA,4,4,"30/06/2014","2004_11",0,0
NA,"Voluntary or Not for Profit","Key - Dunbartonshire","Glasgow","Adults","29/01/2020",5,5,NA,5,5,"02/12/2019","2004_11",0,0
NA,"Voluntary or Not for Profit","Key - Ayrshire and South Lanarkshire","Glasgow","Adults","14/02/2023",4,5,NA,4,3,"24/01/2023","2004_11",0,0
NA,"Voluntary or Not for Profit","Key Community Supports - Clyde Coast","Glasgow","Adults","22/11/2023",5,5,NA,4,5,"11/10/2023","2004_11",0,0
NA,"Voluntary or Not for Profit","Key Community Supports - North Lanarkshire","Coatbridge","Adults","19/06/2023",5,5,NA,4,5,"12/06/2023","2004_11",0,0
NA,"Voluntary or Not for Profit","Key Community Supports - Falkirk","Falkirk","Adults","06/03/2023",5,5,NA,5,5,"26/01/2023","2004_11",0,0
NA,"Voluntary or Not for Profit","Fife Housing Support","Dunfermline","Adults","07/08/2023",4,5,NA,4,4,"25/07/2023","2004_7",0,0
NA,"Voluntary or Not for Profit","Aberdeenshire Services","Glasgow","Adults","21/08/2023",5,4,NA,5,5,"01/08/2023","2004_11",0,0
NA,"Voluntary or Not for Profit","Dumfries & Galloway Services","Dumfries","Adults","18/09/2023",4,5,NA,5,4,"18/08/2023","2004_11",0,0
NA,"Voluntary or Not for Profit","Community Lifestyles - Glasgow","Glasgow","Adults","22/03/2017",5,5,NA,6,5,"01/02/2017","2004_11",0,0
NA,"Local Authority","The Moray Council Housing Support Service","Elgin","Adults","01/04/2014",5,5,NA,5,5,"22/02/2016","2004_8",0,0
NA,"Local Authority","Sheltered Housing Service, Elgin","Elgin","Adults","06/05/2016",5,5,NA,5,5,"18/02/2016","2004_8",0,0
NA,"Local Authority","Homeless Hostels","Elgin","Adults","10/02/2017",5,5,NA,5,5,"22/12/2016","2004_9",0,0
NA,"Local Authority","Community Support Service - Elgin","Elgin","Adults","19/06/2020",4,4,NA,3,3,"21/02/2020","2004_9",0,0
NA,"Private","JPM Community Care Services","Lockerbie","Adults","05/06/2023",4,5,NA,5,4,"05/05/2023","2004_8",0,0
NA,"Local Authority","East Kilbride Home Care Service","Glasgow","Adults","25/02/2020",4,4,NA,5,5,"24/01/2020","2004_8",0,0
NA,"Local Authority","Hamilton Home Care Service","Hamilton","Adults","20/07/2021",3,3,NA,3,3,"17/06/2021","2004_8",1,1
NA,"Local Authority","Rutherglen Home Care Service","Cambuslang","Adults","06/01/2021",4,3,NA,4,4,"24/11/2020","2004_8",1,1
NA,"Local Authority","Clydesdale Homecare","Lanark","Adults","15/11/2018",5,5,NA,4,5,"26/10/2018","2004_8",0,0
NA,"Private","Living Ambitions Limited, Glasgow South and East 3","Glasgow","Adults","27/03/2023",5,4,NA,4,5,"15/03/2023","2004_11",0,0
NA,"Private","Living Ambitions Limited, Glasgow North and West","Glasgow","Adults","12/07/2023",4,5,NA,5,4,"26/06/2023","2004_11",0,0
NA,"Voluntary or Not for Profit","Hanover Housing Support Factoring Branch","Edinburgh","Adults","09/06/2014",5,5,NA,5,5,"22/01/2016","2004_8",0,0
NA,"Voluntary or Not for Profit","Glasgow Area 2","Glasgow","Adults","28/06/2023",4,4,NA,4,4,"20/04/2023","2004_11",2,2
NA,"Local Authority","West Lothian Council Housing with Care- (Holmes Gardens & Cunnigar House)","Broxburn","Adults","25/09/2023",5,5,NA,5,4,"19/09/2023","2004_8",0,0
NA,"Local Authority","West Lothian Council - Housing, Customer & Building Services","Livingston","Adults","22/08/2018",5,5,NA,4,5,"25/07/2018","2004_8",0,0
NA,"Voluntary or Not for Profit","Hansel Supported Living Services","Kilmarnock","Adults","31/05/2023",5,4,NA,5,5,"21/04/2023","2004_10",0,0
NA,"Voluntary or Not for Profit","North Ayrshire Supported Living Service","Stevenston","Adults","11/05/2023",5,4,NA,4,5,"27/03/2023","2004_10",0,0
NA,"Voluntary or Not for Profit","Ark Edinburgh","Edinburgh","Adults","03/03/2020",4,4,NA,5,5,"12/02/2020","2004_7",1,1
NA,"Voluntary or Not for Profit","Ark Forth Valley","Alloa","Adults","04/08/2023",4,4,NA,4,4,"01/08/2023","2004_7",0,0
NA,"Voluntary or Not for Profit","Ark Fife East","St. Andrews","Adults","25/09/2022",4,3,NA,3,5,"02/09/2022","2004_7",1,1
NA,"Voluntary or Not for Profit","Ark Tayside","Blairgowrie","Adults","14/02/2023",5,6,NA,6,4,"16/01/2023","2004_7",1,1
NA,"Voluntary or Not for Profit","Ark Lothians","Tranent","Adults","11/04/2023",5,5,NA,5,5,"25/01/2023","2004_7",0,0
NA,"Voluntary or Not for Profit","Quarriers Village Supported Living Service","Bridge Of Weir","Adults","30/07/2020",5,5,NA,4,5,"21/02/2020","2004_10",0,0
NA,"Local Authority","Renfrewshire Council Housing Support Service","Paisley","Adults","16/04/2019",5,5,NA,4,4,"15/02/2019","2004_11",0,0
NA,"Local Authority","Renfrewshire Council Sheltered Housing Service","Paisley","Adults","26/03/2018",5,5,NA,5,5,"05/02/2018","2004_11",0,0
NA,"Voluntary or Not for Profit","Glasgow Association for Mental Health","Glasgow","Adults","12/11/2019",5,5,NA,5,5,"10/11/2023","2004_9",0,0
NA,"Local Authority","Perth & Kinross Council - Older People's Housing Support Service","Perth","Adults","03/04/2018",5,5,NA,5,5,"23/02/2018","2004_11",1,1
NA,"Local Authority","Perth & Kinross Council - Young People's Housing Support Service","Perth","Adults","22/07/2019",5,5,NA,6,5,"24/05/2019","2004_11",0,0
NA,"Local Authority","Perth & Kinross Council - Adults with Learning Disabilities","Perth","Adults","23/10/2019",5,5,NA,5,5,"20/09/2019","2004_11",0,0
NA,"Voluntary or Not for Profit","Fife Women's Aid Housing Support","Glenrothes","Adults","10/05/2019",5,5,NA,5,6,"20/03/2019","2004_10",0,0
NA,"Voluntary or Not for Profit","The Arch Resettlement Centre","Glasgow","Adults","25/09/2023",5,5,NA,5,3,"30/08/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","The Salvation Army Re-settlement Project","Inverness","Adults","20/06/2023",5,6,NA,5,5,"16/06/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","Community Support Service, West Scotland","Kilbirnie","Adults","24/04/2023",5,5,NA,5,5,"30/03/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","Carr Gomm Support Services 4","Falkirk","Adults","20/04/2023",5,5,NA,5,4,"21/03/2023","2004_7",0,0
NA,"Voluntary or Not for Profit","Carr Gomm Support Services 3","Edinburgh","Adults","30/01/2020",5,5,NA,4,5,"24/12/2019","2004_7",0,0
NA,"Voluntary or Not for Profit","Carr Gomm Support Services 5","Edinburgh","Adults","07/09/2023",5,5,NA,5,5,"10/07/2023","2004_7",0,0
NA,"Voluntary or Not for Profit","Carr Gomm Support Services 2","Edinburgh","Adults","01/10/2019",4,4,NA,5,5,"31/07/2019","2004_7",0,0
NA,"Voluntary or Not for Profit","Leonard Cheshire Disability - South West Scotland - Housing Support Service","Dumfries","Adults","25/09/2022",5,4,NA,4,5,"29/06/2022","2004_7",0,0
NA,"Voluntary or Not for Profit","Leonard Cheshire Services (Scotland) - Glasgow","Edinburgh","Adults","28/11/2019",4,4,NA,4,4,"08/11/2019","2004_7",0,0
NA,"Voluntary or Not for Profit","Dundee Survival Group","Dundee","Adults","03/10/2023",4,4,NA,4,4,"08/09/2023","2004_11",0,0
NA,"Private","Paramount Care","Westhill","Adults","25/09/2023",5,4,NA,4,5,"12/09/2023","2004_11",1,1
NA,"Voluntary or Not for Profit","Leonard Cheshire Services (Scotland) - Edinburgh and Fife Support at Home","Edinburgh","Adults","06/07/2023",5,5,NA,5,5,"26/06/2023","2004_7",1,1
NA,"Voluntary or Not for Profit","Leonard Cheshire Disability - Aberdeen","Aberdeen","Adults","08/01/2020",5,5,NA,4,5,"18/11/2019","2004_7",0,0
NA,"Voluntary or Not for Profit","Leonard Cheshire Services (Scotland) - Glamis House","Glenrothes","Adults","04/09/2023",2,3,NA,2,3,"06/11/2023","2004_7",3,3
NA,"Voluntary or Not for Profit","Glasgow Housing Support and Care at Home Service","Glasgow","Adults","26/07/2023",4,4,NA,4,4,"07/07/2023","2004_10",0,0
NA,"Voluntary or Not for Profit","South Glasgow Alcohol and Drug Recovery Hub","Glasgow","Adults","26/06/2023",4,5,NA,5,4,"09/05/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","The Mungo Foundation Arden Branch","Glasgow","Adults","15/06/2023",4,5,NA,5,4,"06/06/2023","2004_9",0,0
NA,"Local Authority","Angus Council Homeless Support Service","Arbroath","Adults","16/10/2017",5,5,NA,5,5,"27/09/2017","2004_11",0,0
NA,"Local Authority","Angus Council Accommodation with Support Service (Mental Health)","Arbroath","Adults","03/05/2023",5,5,NA,4,4,"07/04/2023","2005_2",0,0
NA,"Voluntary or Not for Profit","Turning Point Scotland - South Ayrshire Independent Living","Ayr","Adults","11/02/2020",5,5,NA,5,5,"09/01/2020","2004_12",0,0
NA,"Voluntary or Not for Profit","Streets Ahead (East) - Care at Home/Housing Support","Kelso","Adults","04/10/2023",5,4,NA,4,5,"13/09/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","The Richmond Fellowship Scotland - Housing Support Glasgow North and West","Glasgow","Adults","11/04/2023",5,5,NA,5,4,"15/03/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","The Richmond Fellowship Scotland - Edinburgh","Edinburgh","Adults","19/06/2023",5,5,NA,5,5,"19/05/2023","2004_8",1,1
NA,"Voluntary or Not for Profit","The Richmond Fellowship Scotland - Aberdeenshire","Alford","Adults","21/05/2021",3,3,NA,3,3,"12/05/2021","2004_8",0,0
NA,"Local Authority","West Dunbartonshire Council Sheltered Housing","Clydebank","Adults","31/07/2023",4,4,NA,3,3,"25/04/2023","2004_11",0,0
NA,"Local Authority","West Dunbartonshire Council Home Care Service","Clydebank","Adults","12/06/2023",3,3,NA,3,3,"06/10/2023","2004_11",3,3
NA,"Local Authority","West Dunbartonshire Council Learning Disability Service","Clydebank","Adults","16/01/2020",5,5,NA,5,6,"22/11/2019","2004_11",0,0
NA,"Local Authority","West Dunbartonshire Council Supported Housing Service","Dumbarton","Adults","20/10/2023",4,5,NA,4,3,"25/08/2023","2004_11",0,0
NA,"Local Authority","Care at Home Services","Kirkwall","Adults","25/08/2023",4,5,NA,4,4,"10/08/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","Blackwood Forth Valley Care and Support Services","Stirling","Adults","08/12/2022",5,5,NA,5,5,"22/11/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","Community Service","Glasgow","Adults","03/07/2023",4,5,NA,5,4,"08/06/2023","2005_3",0,0
NA,"Voluntary or Not for Profit","Harbour Homes Scotland - Sheltered Housing Service","Edinburgh","Adults","10/04/2017",6,6,NA,5,5,"29/03/2017","2004_8",0,0
NA,"Local Authority","Sheltered Housing - Orkney","Kirkwall","Adults","07/02/2019",3,3,NA,3,4,"16/10/2023","2004_12",0,0
NA,"Local Authority","Mental Health Community Support Service @ Annsbrae House","Shetland","Adults","24/10/2023",5,5,NA,5,5,"11/10/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","Women's Aid Orkney","Kirkwall","Adults","07/07/2023",5,5,NA,5,5,"19/05/2023","2004_9",1,1
NA,"Voluntary or Not for Profit","Direct Access Hostel","Glasgow","Adults","28/11/2023",3,3,NA,4,3,"08/11/2023","2005_3",0,0
NA,"Voluntary or Not for Profit","Turning Point Scotland - Dumfries North and East","Dumfries","Adults","07/07/2020",5,5,NA,5,5,"14/02/2020","2004_8",0,0
NA,"Voluntary or Not for Profit","Turning Point Scotland - Dundee","Dundee","Adults","09/12/2019",5,5,NA,5,6,"11/08/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","Turning Point Scotland - Wigtownshire & Stewartry West","Dumfries","Adults","12/07/2019",5,5,NA,6,5,"11/04/2019","2004_8",0,0
NA,"Voluntary or Not for Profit","Turning Point Scotland - Glasgow Alcohol & Drug Crisis Service","Glasgow","Adults","07/06/2018",5,5,NA,4,5,"27/03/2018","2004_8",0,0
NA,"Voluntary or Not for Profit","Turning Point - Inverclyde","Greenock","Adults","29/01/2020",5,5,NA,5,5,"20/12/2019","2004_8",0,0
NA,"Voluntary or Not for Profit","Renfrewshire and East Renfrewshire Mental Health, Learning Disability and/ or Physical Disability Service","Paisley","Adults","29/09/2023",5,5,NA,5,5,"10/08/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","Inverness Women's Aid (Housing Support)","Inverness","Adults","12/03/2019",5,5,NA,6,5,"25/01/2019","2004_11",0,0
NA,"Voluntary or Not for Profit","Ross-shire Women's Aid","Dingwall","Adults","17/12/2019",5,5,NA,5,4,"11/12/2019","2004_10",0,0
NA,"Local Authority","East Lothian Council - Homecare Services","Haddington","Adults","24/10/2023",4,5,NA,4,4,"29/09/2023","2004_8",0,0
NA,"Local Authority","Clackmannanshire Reablement and Technology Enabled Care Service","Alloa","Adults","22/12/2022",5,5,NA,5,5,"08/12/2022","2004_11",0,0
NA,"Local Authority","Inverclyde Learning Disability Support & Care at Home Service","Greenock","Adults","16/01/2020",5,5,NA,5,5,"12/11/2019","2004_11",0,0
NA,"Local Authority","Inverclyde Centre","Greenock","Adults","02/10/2023",4,4,NA,5,5,"08/09/2023","2004_11",0,0
NA,"Local Authority","Care & Support at Home","Greenock","Adults","04/06/2019",5,5,NA,5,5,"15/11/2023","2004_11",0,0
NA,"Voluntary or Not for Profit","The Redwoods Caring Foundation - Housing Support Service","Edinburgh","Adults","14/09/2023",5,5,NA,5,5,"05/09/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","Real Life Options - Glasgow Balmore Service","Glasgow","Adults","23/10/2019",5,5,NA,5,5,"26/09/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","Transform Community Development","Dundee","Adults","14/11/2022",3,3,NA,4,3,"25/10/2022","2004_10",0,0
NA,"Voluntary or Not for Profit","Paisley Project","Paisley","Adults","22/05/2023",5,5,NA,5,5,"24/04/2023","2004_10",1,1
NA,"Voluntary or Not for Profit","Somerset Place","Glasgow","Adults","02/10/2018",5,5,NA,5,5,"17/08/2018","2004_9",0,0
NA,"Voluntary or Not for Profit","The Kilmarnock Project and Outreach Flats","Kilmarnock","Adults","21/03/2019",5,5,NA,4,5,"30/01/2019","2004_10",0,0
NA,"Voluntary or Not for Profit","Shettleston Project","Glasgow","Adults","10/09/2020",5,5,NA,5,5,"11/02/2020","2004_10",0,0
NA,"Voluntary or Not for Profit","The View Park Project","Glasgow","Adults","24/07/2023",5,5,NA,4,5,"30/06/2023","2004_10",0,0
NA,"Voluntary or Not for Profit","Clydebank Project","Clydebank","Adults","21/05/2018",5,5,NA,4,4,"22/03/2018","2004_10",0,0
NA,"Voluntary or Not for Profit","The Hamilton Project","Hamilton","Adults","02/09/2019",5,5,NA,5,5,"05/08/2019","2004_10",0,0
NA,"Voluntary or Not for Profit","The Lanark Project","Lanark","Adults","03/11/2017",5,5,NA,5,5,"19/10/2017","2004_10",0,0
NA,"Voluntary or Not for Profit","Blue Triangle Oban Housing Support Service","Oban","Adults","08/08/2019",4,4,NA,3,3,"19/06/2019","2004_11",0,0
NA,"Voluntary or Not for Profit","Chalmers Court","Ayr","Adults","29/08/2019",5,5,NA,5,5,"16/04/2019","2004_10",0,0
