"Subtype","Provider","Name","Town","Council","Grades published","Wellbeing support","Care and support","Setting","Staffing","Leadership","Last_inspection_Date","Registered","Complaints upheld since 22/23","Enforcements since 22/23"
"Older People","Local Authority","Dalweem","Aberfeldy","Perth & Kinross","06/12/2023",5,5,5,5,4,"23/11/2023","2002_4",0,0
"Older People","Local Authority","Parkdale","Auchterarder","Perth & Kinross","12/02/2024",3,5,5,5,3,"26/01/2024","2002_4",0,0
"Older People","Private","Ashdene House","Crieff","Perth & Kinross","06/02/2024",4,4,4,4,4,"18/01/2024","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Corbenic Camphill Community","Dunkeld","Perth & Kinross","03/04/2023",5,3,3,3,5,"14/03/2023","2002_4",0,0
"Older People","Private","Dalginross House","Crieff","Perth & Kinross","06/06/2024",3,3,2,3,2,"26/04/2024","2002_4",0,0
"Older People","Private","Glencairn House","Auchterarder","Perth & Kinross","27/06/2024",4,4,4,4,4,"20/06/2024","2002_4",0,0
"Learning Disabilities","Private","ASC The Grange","Perth","Perth & Kinross","22/03/2024",4,4,4,3,3,"18/03/2024","2002_4",1,0
"Older People","Voluntary or Not for Profit","Hope Park House","Blairgowrie","Perth & Kinross","27/02/2024",5,4,4,4,4,"08/02/2024","2002_4",1,0
"Older People","Voluntary or Not for Profit","Kincarrathie House","Perth","Perth & Kinross","08/04/2024",3,3,4,4,3,"13/03/2024","2002_4",0,0
"Older People","Private","North Inch House","Perth","Perth & Kinross","15/09/2023",4,4,3,4,4,"30/08/2023","2002_4",2,0
"Older People","Voluntary or Not for Profit","Robert Douglas Memorial Home","Perth","Perth & Kinross","06/04/2023",5,4,4,4,5,"22/12/2022","2002_4",0,0
"Physical and Sensory Impairment","Voluntary or Not for Profit","Upper Springland Annaty","Perth","Perth & Kinross","21/12/2023",4,4,4,4,4,"23/11/2023","2002_4",0,0
"Older People","Voluntary or Not for Profit","Viewlands House","Perth","Perth & Kinross","18/03/2024",5,4,5,5,5,"29/02/2024","2002_4",0,0
"Older People","Private","Wardside House","Crieff","Perth & Kinross","20/07/2022",4,4,5,5,3,"14/03/2024","2002_4",0,0
"Older People","Voluntary or Not for Profit","Erskine Home","Bishopton","Renfrewshire","20/09/2023",5,4,4,4,5,"05/09/2023","2002_4",1,0
"Older People","Voluntary or Not for Profit","Bagatelle","Greenock","Inverclyde","03/01/2024",5,5,4,4,5,"14/12/2023","2002_4",0,0
"Older People","Voluntary or Not for Profit","Glenfield","Greenock","Inverclyde","25/11/2022",4,5,5,5,5,"14/10/2022","2002_4",0,0
"Older People","Private","Inchinnan Care Home","Renfrew","Renfrewshire","22/01/2024",3,3,3,3,4,"21/11/2023","2002_4",0,0
"Older People","Private","Nightingale House","Paisley","Renfrewshire","17/08/2022",4,4,4,4,4,"14/07/2022","2002_4",1,0
"Older People","Private","Morar Lodge Nursing Home","Helensburgh","Argyll & Bute","23/05/2024",4,4,4,4,4,"05/04/2024","2002_4",0,0
"Older People","Private","Abbotsford Nursing Home","Ardrossan","North Ayrshire","23/05/2022",5,5,5,5,5,"13/05/2022","2002_4",0,0
"Older People","Private","Ainslie Manor Nursing Home","Girvan","South Ayrshire","25/01/2024",4,4,4,4,4,"18/01/2024","2002_4",2,0
"Older People","Private","Bellevue Nursing Home","Ayr","South Ayrshire","03/06/2024",5,5,4,5,5,"10/05/2024","2002_4",0,0
"Older People","Private","Buckreddan Care Centre","Kilwinning","North Ayrshire","15/11/2023",3,3,3,3,3,"03/05/2024","2002_4",5,0
"Older People","Private","Howard House Nursing & Residential Home","Kilmarnock","East Ayrshire","29/04/2024",5,4,5,5,5,"15/04/2024","2002_4",2,0
"Older People","Private","Redford Nursing Home","Ayr","South Ayrshire","04/08/2023",4,4,4,4,4,"24/07/2023","2002_4",0,0
"Older People","Private","Suncourt Nursing Home","Troon","South Ayrshire","13/05/2024",3,4,5,4,4,"16/04/2024","2002_4",1,0
"Older People","Private","Temple House Care Home","Ayr","South Ayrshire","17/10/2023",4,4,4,5,5,"22/09/2023","2002_4",1,0
"Learning Disabilities","Private","Townend Nursing Home","Symington","South Ayrshire","31/10/2022",4,4,5,4,4,"02/09/2022","2002_4",0,0
"Older People","Private","Galashiels Nursing Home","Galashiels","Scottish Borders","18/12/2023",3,3,4,4,3,"27/11/2023","2002_4",2,0
"Older People","Private","Knowesouth Care Centre","Jedburgh","Scottish Borders","30/04/2024",3,3,4,3,3,"15/04/2024","2002_4",1,0
"Older People","Private","Riverside Healthcare Centre","Selkirk","Scottish Borders","11/10/2023",3,3,3,3,3,"09/10/2023","2002_4",0,0
"Older People","Private","Bandrum Nursing Home","Dunfermline","Fife","09/05/2024",3,4,3,3,3,"12/03/2024","2002_4",0,0
"Older People","Private","Pitlair House Nursing Home","Cupar","Fife","05/03/2024",5,4,4,4,5,"23/02/2024","2002_4",0,0
"Older People","Private","Lunardi Court","Cupar","Fife","29/04/2024",5,4,4,4,4,"15/04/2024","2002_4",2,0
"Older People","Private","Abbeyvale (Care Home)","Elgin","Moray","02/03/2023",5,4,5,5,5,"20/02/2023","2002_4",0,0
"Older People","Private","Annesley House Care Home","Banchory","Aberdeenshire","03/04/2024",3,3,3,3,3,"26/06/2024","2002_4",1,1
"Older People","Private","Culsh House Care Home","Turriff","Aberdeenshire","14/06/2022",5,4,5,5,5,"19/05/2022","2002_4",0,0
"Older People","Private","Drumdarroch House Nursing Home","Insch","Aberdeenshire","12/06/2024",3,4,5,3,4,"10/05/2024","2002_4",0,0
"Older People","Private","Inchmarlo House","Banchory","Aberdeenshire","01/05/2023",3,4,4,4,3,"24/06/2024","2002_4",1,0
"Older People","Private","Mowat Court Nursing Home","Stonehaven","Aberdeenshire","09/02/2023",4,5,4,5,5,"09/02/2023","2002_4",0,0
"Older People","Private","Birdston","Glasgow","East Dunbartonshire","22/01/2024",4,5,5,5,4,"08/12/2023","2002_4",0,0
"Older People","Private","Lillyburn","Glasgow","East Dunbartonshire","18/01/2024",5,5,5,5,5,"23/11/2023","2002_4",0,0
"Older People","Private","Campsie View","Glasgow","East Dunbartonshire","04/08/2023",4,4,3,5,5,"07/07/2023","2002_4",1,0
"Mental Health Problems","Private","Southview","Glasgow","South Lanarkshire","17/05/2024",2,2,2,2,2,"16/05/2024","2002_4",0,0
"Older People","Private","Greencross","Glasgow","South Lanarkshire","02/04/2024",5,4,4,4,4,"21/03/2024","2002_4",0,0
"Older People","Private","Edinbarnet","Clydebank","West Dunbartonshire","13/09/2023",4,4,4,4,4,"04/09/2023","2002_4",0,0
"Older People","Private","Chester Park Care Home","Glasgow","Glasgow City","23/05/2023",5,4,4,5,5,"28/04/2023","2002_4",0,0
"Older People","Private","Florence House","Glasgow","Glasgow City","19/02/2024",4,4,4,4,4,"09/02/2024","2002_4",2,0
"Older People","Private","Oakbridge Care Home","Glasgow","Glasgow City","03/01/2024",4,4,4,4,4,"22/05/2024","2002_4",1,0
"Older People","Private","Applecross Nursing Home","Glasgow","Glasgow City","13/04/2023",4,4,4,4,5,"12/06/2024","2002_4",0,0
"Older People","Voluntary or Not for Profit","Burnfield","Glasgow","East Renfrewshire","20/05/2024",5,5,5,5,5,"15/05/2024","2002_4",0,0
"Older People","Voluntary or Not for Profit","Westacres","Glasgow","East Renfrewshire","27/02/2024",4,4,4,4,3,"08/02/2024","2002_4",1,0
"Older People","Private","Riverside House Care Home","Wick","Highland","09/02/2024",4,4,4,4,3,"29/01/2024","2002_4",0,0
"Learning Disabilities","Private","Fairburn House","Muir Of Ord","Highland","30/08/2022",5,5,5,5,4,"08/08/2022","2002_4",0,0
"Learning Disabilities","Private","Seaforth House Ltd (Care Home)","Dingwall","Highland","31/01/2024",4,4,4,4,4,"12/01/2024","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","Birchwood Highland Recovery Centre","Inverness","Highland","05/01/2024",4,3,3,4,3,"06/12/2023","2002_4",0,0
"Older People","Private","Southside Care Home","Inverness","Highland","15/07/2022",4,4,4,4,4,"15/06/2022","2002_4",1,0
"Older People","Private","Avondale Nursing Home","Motherwell","North Lanarkshire","15/08/2023",4,4,4,4,4,"13/07/2023","2002_4",1,0
"Older People","Private","Craig En Goyne","Glasgow","North Lanarkshire","28/04/2023",4,4,5,4,4,"21/04/2023","2002_4",0,0
"Older People","Private","Cumbernauld Care Home","Glasgow","North Lanarkshire","14/05/2024",4,4,4,4,4,"09/05/2024","2002_4",0,0
"Older People","Voluntary or Not for Profit","Darroch Nursing Home","Glasgow","North Lanarkshire","11/12/2023",4,4,4,5,3,"09/11/2023","2002_4",2,0
"Older People","Private","Clinton House Nursing Home","Larkhall","South Lanarkshire","20/11/2023",4,4,4,4,4,"25/10/2023","2002_4",1,0
"Older People","Private","Greenhills Care Home","Biggar","South Lanarkshire","04/04/2024",3,3,3,3,3,"07/03/2024","2002_4",1,0
"Older People","Private","Netherton Court Nursing Home","Wishaw","North Lanarkshire","11/06/2024",3,4,4,4,3,"22/05/2024","2002_4",3,0
"Older People","Private","Rawyards House Care Home","Airdrie","North Lanarkshire","09/11/2023",4,3,4,3,4,"06/11/2023","2002_4",1,0
"Older People","Private","Westwood House Nursing Home","Glasgow","South Lanarkshire","05/12/2023",4,4,4,4,4,"26/10/2023","2002_4",1,0
"Older People","Private","Braid Hills Nursing Centre","Edinburgh","City of Edinburgh","19/12/2023",3,3,3,3,3,"12/12/2023","2002_4",6,0
"Older People","Private","Ashley Court Care Home","Edinburgh","City of Edinburgh","17/01/2024",4,4,5,4,4,"20/12/2023","2002_4",0,0
"Older People","Private","Belgrave Lodge Nursing Home","Edinburgh","City of Edinburgh","08/12/2023",3,3,3,3,3,"14/11/2023","2002_4",1,0
"Older People","Private","Blackfaulds House Nursing Home Ltd","Falkirk","West Lothian","19/05/2023",5,4,4,4,5,"05/05/2023","2002_4",0,0
"Older People","Private","Broxburn Nursing Home","Broxburn","West Lothian","15/08/2023",4,4,4,4,4,"01/08/2023","2002_4",1,0
"Older People","Private","Cameron Park Nursing Home","Edinburgh","City of Edinburgh","09/06/2023",5,5,4,5,5,"05/06/2023","2002_4",0,0
"Older People","Private","Chamberlain Road Nursing Home","Edinburgh","City of Edinburgh","10/10/2022",5,5,5,5,5,"22/09/2022","2002_4",0,0
"Older People","Private","Claremont Park Nursing Home","Edinburgh","City of Edinburgh","22/11/2023",3,4,4,4,4,"02/11/2023","2002_4",0,0
"Older People","Private","Cluny Lodge Nursing Home","Edinburgh","City of Edinburgh","23/11/2023",6,5,5,5,5,"11/09/2023","2002_4",0,0
"Older People","Private","Drummond Grange Nursing Home","Lasswade","Midlothian","28/08/2023",4,4,4,4,5,"16/08/2023","2002_4",3,0
"Older People","Voluntary or Not for Profit","Erskine Edinburgh Home","Edinburgh","City of Edinburgh","05/12/2023",4,5,5,5,4,"08/11/2023","2002_4",0,0
"Older People","Private","Gilmerton","Edinburgh","City of Edinburgh","11/06/2024",5,4,4,5,4,"29/05/2024","2002_4",1,0
"Older People","Private","Peacock Nursing Home","Livingston","West Lothian","28/05/2024",4,5,4,4,4,"29/04/2024","2002_4",1,0
"Older People","Voluntary or Not for Profit","St. Raphael's Care Home","Edinburgh","City of Edinburgh","03/05/2023",5,5,5,5,5,"28/04/2023","2002_4",0,0
"Older People","Private","Struan Lodge Nursing Home","Edinburgh","City of Edinburgh","25/05/2022",4,4,4,4,4,"12/05/2022","2002_4",0,0
"Older People","Private","Woodlands Nursing Home","Livingston","West Lothian","19/01/2024",4,5,4,5,5,"17/01/2024","2002_4",0,0
"Older People","Private","Harestane Nursing Home","Dundee","Dundee City","16/10/2023",5,5,5,5,6,"11/10/2023","2002_3",0,0
"Older People","Private","Bridge View House Nursing Home","Dundee","Dundee City","30/08/2023",4,4,4,4,4,"28/08/2023","2002_4",0,0
"Older People","Private","Benholm Nursing Home","Forfar","Angus","22/02/2023",4,4,4,5,4,"24/01/2023","2002_4",0,0
"Older People","Private","Lisden","Kirriemuir","Angus","27/05/2024",3,4,4,3,4,"22/05/2024","2002_4",1,0
"Older People","Private","Benvie Care Home","Dundee","Dundee City","25/06/2024",3,4,4,4,3,"25/06/2024","2002_4",1,0
"Older People","Private","Bankfoot House","Moffat","Dumfries & Galloway","18/05/2023",4,3,4,3,3,"23/03/2023","2002_4",0,0
"Older People","Private","Abbey Gardens Nursing Home","Dumfries","Dumfries & Galloway","14/06/2022",5,5,4,5,5,"27/05/2022","2002_4",0,0
"Physical and Sensory Impairment","Voluntary or Not for Profit","Atkinson Road Respite","Dumfries","Dumfries & Galloway","24/01/2023",5,5,5,5,4,"22/11/2022","2002_4",0,0
"Older People","Private","Dryfemount Care Home","Lockerbie","Dumfries & Galloway","06/07/2022",4,3,3,5,4,"24/05/2022","2002_4",0,0
"Older People","Private","Senwick House","Kirkcudbright","Dumfries & Galloway","18/08/2022",4,5,5,5,3,"21/07/2022","2002_4",0,0
"Older People","Private","West View (Monreith) Ltd","Newton Stewart","Dumfries & Galloway","24/10/2023",3,4,4,3,3,"11/10/2023","2002_4",1,0
"Older People","Private","Cumloden Manor Nursing Home","Newton Stewart","Dumfries & Galloway","08/04/2022",3,3,3,3,3,"15/03/2022","2002_4",0,0
"Older People","Voluntary or Not for Profit","Eagle Lodge","Edinburgh","City of Edinburgh","26/03/2024",4,4,4,4,4,"28/02/2024","2002_4",0,0
"Older People","Voluntary or Not for Profit","Davidson House","Edinburgh","City of Edinburgh","09/01/2024",3,4,4,3,3,"16/11/2023","2002_4",0,0
"Older People","Private","Florabank","Haddington","East Lothian","23/05/2023",4,4,4,4,4,"04/05/2023","2002_4",0,0
"Older People","Voluntary or Not for Profit","Queens Bay Lodge","Edinburgh","City of Edinburgh","15/11/2023",4,4,5,3,4,"11/10/2023","2002_4",0,0
"Older People","Voluntary or Not for Profit","The Elms","Edinburgh","City of Edinburgh","27/02/2024",4,3,4,4,4,"31/01/2024","2002_4",1,0
"Older People","Voluntary or Not for Profit","Morlich House","Edinburgh","City of Edinburgh","04/01/2024",5,4,6,5,5,"13/12/2023","2002_4",0,0
"Older People","Local Authority","Fords Road Home for Older People","Edinburgh","City of Edinburgh","23/06/2023",5,4,4,4,5,"14/06/2023","2002_4",0,0
"Older People","Local Authority","Clovenstone House","Edinburgh","City of Edinburgh","15/11/2023",5,5,5,5,5,"18/10/2023","2002_4",0,0
"Older People","Local Authority","Ferrylee","Edinburgh","City of Edinburgh","14/12/2023",5,4,4,4,5,"23/10/2023","2002_4",0,0
"Older People","Local Authority","Jewel House","Edinburgh","City of Edinburgh","24/07/2023",4,4,4,4,4,"06/07/2023","2002_4",0,0
"Learning Disabilities","Local Authority","Castle Crags (Short Breaks)","Edinburgh","City of Edinburgh","18/02/2020",5,4,4,4,4,"18/12/2019","2002_4",0,0
"Physical and Sensory Impairment","Voluntary or Not for Profit","Leonard Cheshire Disability - Newhaven Road","Edinburgh","City of Edinburgh","29/02/2024",5,5,5,5,5,"02/02/2024","2002_4",0,0
"Physical and Sensory Impairment","Voluntary or Not for Profit","Leonard Cheshire Disability - Letham Court - Respite","Livingston","West Lothian","05/02/2024",5,5,5,5,5,"24/01/2024","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Leonard Cheshire Disability - Argyle Street","Edinburgh","City of Edinburgh","20/02/2024",4,5,4,4,4,"19/01/2024","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Leonard Cheshire Disability - Bath Street","Edinburgh","City of Edinburgh","18/03/2024",5,5,5,5,6,"14/02/2024","2002_4",0,0
"Physical and Sensory Impairment","Voluntary or Not for Profit","Leonard Cheshire Disability - Wardieburn Street","Edinburgh","City of Edinburgh","26/04/2024",3,4,4,3,4,"27/03/2024","2002_4",0,0
"Physical and Sensory Impairment","Voluntary or Not for Profit","Leonard Cheshire Disability - Blackadder","Edinburgh","City of Edinburgh","29/04/2024",4,4,3,4,4,"12/03/2024","2002_4",0,0
"Physical and Sensory Impairment","Voluntary or Not for Profit","Leonard Cheshire Disability - Pinewood","Livingston","West Lothian","09/02/2024",5,5,3,4,5,"29/01/2024","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Leonard Cheshire Disability - Kirklands Park Rigg","Kirkliston","City of Edinburgh","21/08/2023",5,5,4,5,5,"16/06/2023","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Enable Scotland (Leading the Way) - Rowan Street","Bathgate","West Lothian","19/04/2024",5,4,6,6,4,"29/02/2024","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Enable Scotland (Leading the Way) - Dunlin Brae","Livingston","West Lothian","26/03/2024",5,5,6,6,4,"23/02/2024","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Enable Scotland (Leading the Way) - Rosehill Place","Livingston","West Lothian","26/03/2024",5,4,5,5,4,"23/02/2024","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Parkside Court","Dalkeith","Midlothian","23/10/2023",4,4,4,4,4,"10/10/2023","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Plover Brae","Livingston","West Lothian","21/02/2024",4,4,4,4,4,"15/01/2024","2002_4",0,0
"Older People","Voluntary or Not for Profit","Rosehill Care Home","Dalkeith","Midlothian","05/06/2024",5,4,4,4,5,"29/05/2024","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Muirs Court","Broxburn","West Lothian","12/09/2023",5,4,4,5,5,"29/08/2023","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Mill Road","Bathgate","West Lothian","24/10/2023",4,4,5,5,5,"02/10/2023","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Lismore House","Bathgate","West Lothian","24/10/2023",5,4,5,5,5,"02/10/2023","2002_4",0,0
"Older People","Local Authority","The Abbey","North Berwick","East Lothian","21/06/2023",3,3,3,3,3,"27/04/2023","2002_4",0,0
"Older People","Local Authority","Limecroft","Livingston","West Lothian","11/09/2023",5,4,4,4,4,"21/08/2023","2002_4",0,0
"Older People","Local Authority","Whitdale House","Bathgate","West Lothian","13/12/2023",5,5,4,5,4,"28/11/2023","2002_4",0,0
"Older People","Local Authority","Highbank","Dalkeith","Midlothian","06/02/2024",4,4,4,4,5,"16/01/2024","2002_4",0,0
"Older People","Private","Carberry House Care Home","Musselburgh","East Lothian","07/03/2024",5,4,4,4,5,"16/02/2024","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Torphin House","Edinburgh","City of Edinburgh","31/10/2023",6,6,5,5,6,"02/10/2023","2002_4",0,0
"Older People","Voluntary or Not for Profit","St. Anne's Care Home","Musselburgh","East Lothian","30/08/2021",4,4,4,4,4,"19/08/2021","2002_4",0,0
"Learning Disabilities","Private","Livingston Home Reach","Livingston","West Lothian","13/09/2022",5,5,5,5,4,"18/08/2022","2002_4",0,0
"Older People","Local Authority","Ludgate House Resource Centre","Alloa","Clackmannanshire","21/09/2023",5,5,5,6,5,"05/09/2023","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Camphill Blair Drummond","Stirling","Stirling","20/12/2023",5,4,5,4,4,"07/12/2023","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","ARK Grangemouth Care Home","Grangemouth","Falkirk","07/12/2023",4,4,3,4,5,"28/11/2023","2002_4",0,0
"Older People","Voluntary or Not for Profit","Falls Of Dochart Retirement Home","Killin","Stirling","15/08/2023",6,4,5,5,5,"02/08/2023","2002_4",0,0
"Older People","Local Authority","Summerford House","Falkirk","Falkirk","08/09/2023",5,4,4,5,5,"05/09/2023","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","Gaberston House","Stirling","Stirling","22/01/2024",5,5,4,5,5,"15/12/2023","2002_4",0,0
"Older People","Voluntary or Not for Profit","Gowanlea","Stirling","Stirling","20/03/2024",5,5,6,5,5,"13/03/2024","2002_4",0,0
"Older People","Local Authority","Cunningham House","Grangemouth","Falkirk","14/07/2023",5,4,3,4,5,"13/07/2023","2002_4",0,0
"Older People","Voluntary or Not for Profit","Westerlands","Stirling","Stirling","12/02/2024",4,4,4,4,4,"05/02/2024","2002_4",0,0
"Respite Care and Short Breaks","Local Authority","Thornton Gardens","Falkirk","Falkirk","11/09/2023",5,4,5,4,5,"11/09/2023","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","SAMH - Mayfield","Denny","Falkirk","21/12/2023",5,5,5,5,5,"06/12/2023","2002_4",0,0
"Older People","Private","Summerdale","Falkirk","Falkirk","04/06/2024",4,4,3,4,4,"15/05/2024","2002_4",1,0
"Mental Health Problems","Voluntary or Not for Profit","SAMH - Whins Of Milton","Stirling","Stirling","08/01/2024",5,5,5,5,5,"29/11/2023","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Scottish Autism, Central Scotland Area Services - Supported Accommodation","Alloa","Clackmannanshire","22/01/2024",5,5,5,6,5,"15/01/2024","2002_4",0,0
"Older People","Local Authority","Burnbrae","Falkirk","Falkirk","21/07/2023",5,4,5,5,4,"19/07/2023","2002_4",0,0
"Older People","Local Authority","Grahamston House","Falkirk","Falkirk","12/01/2024",4,4,4,5,4,"11/01/2024","2002_4",0,0
"Older People","Local Authority","Menstrie House","Menstrie","Clackmannanshire","20/06/2023",4,4,4,5,5,"25/05/2023","2002_4",0,0
"Physical and Sensory Impairment","Voluntary or Not for Profit","Broom Court Care Home","Stirling","Stirling","29/08/2023",5,4,4,5,5,"09/08/2023","2002_4",1,0
"Mental Health Problems","Private","Denovan Care","Denny","Falkirk","29/04/2024",5,5,5,4,5,"22/03/2024","2002_4",0,0
"Learning Disabilities","Private","Treddinoch","Falkirk","Falkirk","05/02/2024",4,6,4,5,4,"19/01/2024","2002_4",0,0
"Older People","Private","Carrondale Nursing Home","Falkirk","Falkirk","21/06/2024",5,5,5,5,5,"12/06/2024","2002_4",0,0
"Older People","Private","Ivybank House Nursing Home","Falkirk","Falkirk","29/08/2023",4,5,4,5,5,"24/08/2023","2002_4",1,0
"Older People","Private","Randolph Hill Nursing Home","Dunblane","Stirling","26/06/2023",5,4,5,5,5,"22/06/2023","2002_4",0,0
"Physical and Sensory Impairment","Voluntary or Not for Profit","Dee View Court","Aberdeen","Aberdeen City","26/02/2024",3,3,4,3,4,"25/01/2024","2003_4",1,0
"Older People","Private","Abbeyside Nursing Home","Elgin","Moray","29/05/2023",4,4,4,4,4,"11/05/2023","2002_4",1,0
"Older People","Private","Parklands (Care Home) - Buckie","Buckie","Moray","17/01/2023",5,4,4,5,5,"05/12/2022","2002_4",1,0
"Older People","Private","Banff Care Home","Banff","Aberdeenshire","19/04/2024",3,5,3,5,3,"12/03/2024","2002_4",0,0
"Older People","Local Authority","Ardfenaig Residential Home","Ardrishaig","Argyll & Bute","20/02/2023",4,4,4,4,5,"18/01/2023","2002_4",0,0
"Older People","Private","Oakview Manor Care Home","Glasgow","Glasgow City","30/06/2022",4,3,4,4,3,"04/06/2024","2002_4",1,0
"Older People","Voluntary or Not for Profit","St. Margarets Home","Falkirk","Falkirk","29/11/2023",5,5,5,5,4,"22/11/2023","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Scottish Autism - South West Area Services - Staikhill","Lanark","South Lanarkshire","21/05/2024",4,4,4,4,4,"10/05/2024","2002_4",0,0
"Physical and Sensory Impairment","Private","Ardencraig Care Home","Glasgow","Glasgow City","19/10/2023",3,4,3,4,4,"04/10/2023","2002_12",1,0
"Learning Disabilities","Local Authority","Willowbank Bungalows 1,2&3","Peterhead","Aberdeenshire","13/12/2022",4,4,3,4,5,"29/09/2022","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","St. Aubins","Aberdeen","Aberdeen City","02/05/2024",4,4,3,5,4,"13/02/2024","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","Claremont House","Dumfries","Dumfries & Galloway","01/12/2022",4,3,4,4,4,"12/04/2024","2002_4",0,0
"Physical and Sensory Impairment","Voluntary or Not for Profit","Lanarkshire Houses","Carluke","South Lanarkshire","06/02/2023",4,5,5,5,4,"26/01/2023","2003_7",0,0
"Physical and Sensory Impairment","Voluntary or Not for Profit","Leonard Cheshire Disability - Alemoor Crescent","Edinburgh","City of Edinburgh","15/03/2024",4,4,4,4,5,"31/01/2024","2002_4",0,0
"Older People","Private","Bonchester Bridge Care Centre","Hawick","Scottish Borders","14/09/2023",3,3,4,3,3,"07/09/2023","2003_2",0,0
"Learning Disabilities","Private","Dunvegan - Stenhousemuir","Larbert","Falkirk","23/06/2023",5,4,4,4,5,"22/05/2023","2003_2",1,0
"Alcohol & Drug Misuse","Voluntary or Not for Profit","Phoenix Futures Care Home","Glasgow","Glasgow City","29/01/2024",3,4,4,4,3,"24/11/2023","2002_4",0,0
"Older People","Local Authority","Jean Mackie Centre","Dunfermline","Fife","15/05/2024",4,4,4,4,4,"30/04/2024","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","5 Slains Crescent","Ellon","Aberdeenshire","03/04/2023",5,5,4,5,5,"06/03/2023","2002_4",0,0
"Learning Disabilities","Local Authority","Burnside (Respite)","Broxburn","West Lothian","05/12/2022",5,4,5,4,4,"13/10/2022","2003_4",0,0
"Physical and Sensory Impairment","Voluntary or Not for Profit","Hepburn Court, West Lodge","Glenrothes","Fife","22/06/2023",4,3,5,5,4,"16/06/2023","2002_4",0,0
"Older People","Private","Glenburnie Care Home","Leven","Fife","13/12/2023",5,4,4,4,5,"13/11/2023","2003_3",0,0
"Learning Disabilities","Voluntary or Not for Profit","Colleonard Court","Banff","Aberdeenshire","27/03/2023",5,5,5,5,5,"16/03/2023","2003_1",0,0
"Older People","Private","Lammermuir House","Dunbar","East Lothian","28/02/2024",2,2,2,3,2,"24/04/2024","2003_7",0,0
"Older People","Private","Abbey Lodge Care Home","Glasgow","South Lanarkshire","09/04/2024",5,4,3,4,4,"01/02/2024","2003_6",2,0
"Respite Care and Short Breaks","Voluntary or Not for Profit","South Lanarkshire Short Break Service","Glasgow","South Lanarkshire","13/02/2020",5,4,5,5,5,"27/04/2022","2003_7",0,0
"Physical and Sensory Impairment","Private","Meigle Country House","Blairgowrie","Perth & Kinross","30/04/2024",4,4,4,4,4,"26/02/2024","2003_9",0,0
"Older People","Private","Rosturk House","Cupar","Fife","15/04/2024",3,3,3,3,3,"21/06/2024","2004_10",2,0
"Older People","Private","Lennel House","Coldstream","Scottish Borders","29/01/2024",4,4,4,4,4,"18/01/2024","2003_11",0,0
"Older People","Local Authority","Bonnyton House - Busby","Glasgow","East Renfrewshire","27/10/2023",4,4,5,5,4,"26/09/2023","2002_4",0,0
"Older People","Private","Belmont Care Centre","Stranraer","Dumfries & Galloway","22/07/2022",3,3,3,3,3,"10/06/2022","2003_12",0,0
"Older People","Private","Whitehills Care Home","Glasgow","South Lanarkshire","07/06/2023",3,3,3,4,3,"24/05/2023","2003_9",1,0
"Older People","Private","Ashley House","Kinross","Perth & Kinross","20/06/2022",5,5,5,5,4,"25/05/2022","2003_9",0,0
"Older People","Private","Buccleuch Care Centre","Hawick","Scottish Borders","09/06/2023",4,4,4,4,4,"22/05/2023","2003_12",0,0
"Older People","Private","The Meadows (Care Home)","Dornoch","Highland","11/07/2023",4,4,4,4,4,"20/06/2023","2004_2",0,0
"Older People","Private","Lindsayfield Lodge","Glasgow","South Lanarkshire","19/04/2024",5,5,5,5,4,"01/03/2024","2004_3",0,0
"Older People","Local Authority","Burngrange Care Home","West Calder","West Lothian","24/05/2023",5,4,4,4,4,"15/05/2023","2004_2",0,0
"Mental Health Problems","Voluntary or Not for Profit","Hopeman Avenue Service","Glasgow","Glasgow City","14/06/2022",5,5,5,5,5,"02/06/2022","2004_5",0,0
"Older People","Private","Spynie - (Care Home)","Elgin","Moray","10/04/2024",3,4,4,3,3,"07/03/2024","2004_4",5,0
