"CareService","Subtype","ServiceType","ServiceName","Service_town","Service_Postcode","ServiceProvider","Provided_by_Local_Authority","Date_Reg","CareHome_Main_Area_of_Care","Council_Area_Name","NumberStaff","Registered_Places","Client_group","GradeSpread","MinGrade","MaxGrade","MinGrade_change","Publication_of_Latest_Grading","KQ_Support_Wellbeing","KQ_Care_and_Support_Planning","KQ_Setting","KQ_Staff_Team","KQ_Leadership","KQ_Care_Play_and_Learning","Complaints_upheld_2122","Complaints_upheld_2223","Complaints_upheld_2324","Enforcements_issued_2122","Enforcements_issued_2223","Enforcements_issued_2324","any_requirements_2122","any_requirements_2223","any_requirements_2324","Last_inspection_Date"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Fersands Family Centre Nursery & Creche","Aberdeen","AB24 2QY","Fersands & Fountain Community Project","No","2002_4",NA,"Aberdeen City",6,24,"Children","Mix",4,5,"Same","23/03/2020",NA,NA,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14/02/2020"
"Day Care of Children","Day Care of Children (over 3s)","Voluntary or Not for Profit","Autism & Neurodiversity North Scotland - Aberdeen Playscheme","Aberdeen","AB25 3AN","Autism & Neurodiversity North Scotland","No","2002_4",NA,"Aberdeen City",5.7,16,"Children","Mix",4,5,"Same","16/08/2023",NA,NA,4,5,5,5,1,NA,NA,NA,NA,NA,NA,"Yes","Inspected but no requirements","20/07/2023"
"Child Minding",NA,"Private","Bell, Harriet","Banchory",NA,NA,"No","2002_4",NA,"Aberdeenshire",1,6,"Children","Mix",4,5,"Same","17/01/2023",NA,NA,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"22/11/2022"
"Child Minding",NA,"Private","Carter, Jacqueline","Aberdeen",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,7,"Children","Mix",4,5,"Same","23/09/2022",NA,NA,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"21/09/2022"
"Child Minding",NA,"Private","Clark, Helen","Stonehaven",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,6,"Children","Mix",4,5,"Same","19/10/2022",NA,NA,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"05/09/2022"
"Child Minding",NA,"Private","Donaldson, Pauline","Montrose",NA,NA,"No","2002_4",NA,"Aberdeenshire",1,6,"Children","Mix",4,5,"Same","30/04/2018",NA,NA,5,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15/03/2018"
"Child Minding",NA,"Private","Doyle, Elaine","Stonehaven",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,6,"Children","Mix",4,5,"Same","10/02/2023",NA,NA,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"13/01/2023"
"Child Minding",NA,"Private","Drysdale, Diane","Stonehaven",NA,NA,"No","2002_4",NA,"Aberdeenshire",1,7,"Children","Mix",4,4,"Same","19/07/2023",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","16/06/2023"
"Child Minding",NA,"Private","Duncan, Doreen","Stonehaven",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,6,"Children","5 or 6",5,5,"Same","19/07/2017",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/11/2012"
"Child Minding",NA,"Private","Ewen, Elaine","Stonehaven",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,6,"Children","Mix",4,4,"Same","05/06/2019",NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"05/03/2019"
"Child Minding",NA,"Private","Ingram, Linda","Aberdeen",NA,NA,"No","2002_4",NA,"Aberdeenshire",1,6,"Children","Mix",4,4,"Same","12/04/2021",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17/03/2021"
"Child Minding",NA,"Private","Lyall, Elaine","Montrose",NA,NA,"No","2002_4",NA,"Aberdeenshire",1,6,"Children","5 or 6",5,5,"Same","30/08/2023",NA,NA,5,5,5,5,1,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","02/08/2023"
"Child Minding",NA,"Private","McDonald, Lorraine","Aberdeen",NA,NA,"No","2002_4",NA,"Aberdeenshire",1,7,"Children","Mix",3,3,"Same","26/10/2022",NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,"Yes","Inspected but no requirements","31/08/2023"
"Child Minding",NA,"Private","McKenzie, Leigh","Aberdeen",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,6,"Children","Mix",4,4,"Same","04/10/2022",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"19/08/2022"
"Child Minding",NA,"Private","Munro, Morag","Aberdeen",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,6,"Children","5 or 6",5,6,"Same","21/04/2017",NA,NA,5,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14/02/2013"
"Child Minding",NA,"Private","Neil, Lyn","Laurencekirk",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,6,"Children","Mix",4,4,"Same","30/09/2019",NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"03/09/2019"
"Child Minding",NA,"Private","Seymour, Sally","Banchory",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,8,"Children","Mix",4,5,"Same","28/08/2023",NA,NA,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","27/07/2023"
"Child Minding",NA,"Private","Warrender, Sandra","Stonehaven",NA,NA,"No","2002_4",NA,"Aberdeenshire",1,6,"Children","5 or 6",6,6,"Same","30/05/2016",NA,NA,6,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24/11/2011"
"Child Minding",NA,"Private","Whyte, Alison","Aberdeen",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,6,"Children","Mix",4,4,"Same","30/06/2021",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,NA,"06/05/2021"
"Child Minding",NA,"Private","Bruce, Mandy","Turriff",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,8,"Children","Mix",4,5,"Same","09/07/2018",NA,NA,5,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16/05/2018"
"Child Minding",NA,"Private","Clark, Angela","Peterhead",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,6,"Children","5 or 6",5,5,"Same","19/01/2017",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/02/2015"
"Child Minding",NA,"Private","Cross, Anne","Peterhead",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,6,"Children","Mix",4,4,"Same","05/02/2020",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"05/12/2019"
"Child Minding",NA,"Private","Dunbar, Linda","Turriff",NA,NA,"No","2002_4",NA,"Aberdeenshire",1,7,"Children","Mix",3,4,"Decline","25/09/2023",NA,NA,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","16/08/2023"
"Child Minding",NA,"Private","Junor, Gillian Anne","Peterhead",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,8,"Children","Mix",4,5,"Same","29/04/2019",NA,NA,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"08/03/2019"
"Child Minding",NA,"Private","Slessor, Jane","Fraserburgh",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,6,"Children","Mix",4,5,"Same","11/01/2018",NA,NA,5,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27/11/2017"
"Child Minding",NA,"Private","Smith, Wilma","Banff",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,6,"Children","5 or 6",5,5,"Same","27/03/2017",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14/02/2013"
"Child Minding",NA,"Private","Stephen, Brenda","Fraserburgh",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,7,"Children","Mix",4,4,"Same","25/09/2017",NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28/08/2017"
"Child Minding",NA,"Private","Thomson, Jennifer","Macduff",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,6,"Children","Mix",4,5,"Same","12/10/2018",NA,NA,4,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27/09/2018"
"Child Minding",NA,"Private","Urquhart, Evelyn","Peterhead",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,7,"Children","5 or 6",5,5,"Same","24/01/2018",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28/11/2017"
"Child Minding",NA,"Private","Allan, Vicki","Ellon",NA,NA,"No","2002_4",NA,"Aberdeenshire",1,7,"Children","5 or 6",6,6,"Same","09/02/2017",NA,NA,6,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","20/09/2023"
"Child Minding",NA,"Private","Campbell, Aileen","Inverurie",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,6,"Children","5 or 6",5,5,"Same","15/08/2023",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","20/07/2023"
"Child Minding",NA,"Private","Davidson, Mandy","Ellon",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,6,"Children","Mix",4,4,"Same","12/11/2015",NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/09/2015"
"Child Minding",NA,"Private","Fyfe, Ilene","Aberdeen",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,8,"Children","5 or 6",5,5,"Same","17/02/2020",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"05/02/2020"
"Child Minding",NA,"Private","Isaac, Shirley","Aberdeen",NA,NA,"No","2002_4",NA,"Aberdeenshire",1,7,"Children","5 or 6",5,5,"Same","24/04/2017",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"05/02/2013"
"Child Minding",NA,"Private","Livingston, Lynne","Ellon",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,7,"Children","Mix",4,5,"Same","06/05/2019",NA,NA,5,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20/03/2019"
"Child Minding",NA,"Private","Lumsden, Mary","Insch",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,6,"Children","Mix",4,4,"Same","30/09/2015",NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","28/08/2023"
"Child Minding",NA,"Private","Masson, Janette","Ellon",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,6,"Children","5 or 6",5,6,"Same","31/01/2018",NA,NA,6,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14/11/2017"
"Child Minding",NA,"Private","McKenzie, Linda Anne","Inverurie",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,6,"Children","Mix",4,5,"Same","13/03/2023",NA,NA,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"06/02/2023"
"Child Minding",NA,"Private","Ness, Allison","Ellon",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,6,"Children","Mix",4,4,"Same","09/04/2018",NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/02/2018"
"Child Minding",NA,"Private","Richmond, Beatrice","Inverurie",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,6,"Children","Mix",4,4,"Same","11/03/2020",NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07/01/2020"
"Child Minding",NA,"Private","Ritchie, Moira","Inverurie",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,6,"Children","5 or 6",5,5,"Same","04/03/2019",NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/12/2018"
"Child Minding",NA,"Private","Stickle, Patricia","Ellon",NA,NA,"No","2002_4",NA,"Aberdeenshire",NA,6,"Children","Mix",4,4,"Same","26/02/2020",NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04/02/2020"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Auchenblae Pre-school Group","Laurencekirk","AB30 1XQ","Auchenblae Pre-school Group","No","2002_4",NA,"Aberdeenshire",0.8,16,"Children","Mix",4,5,"Same","05/10/2022",NA,NA,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"12/09/2022"
"Day Care of Children","Day Care of Children (over 3s)","Local Authority","Banchory Out of School Clubs (BOSCATS)","Banchory","AB31 5ZT","Aberdeenshire Council","Yes","2002_4",NA,"Aberdeenshire",2.7,52,"Children","Mix",4,4,"Same","08/12/2022",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","Inspected but no requirements",NA,"03/11/2022"
"Day Care of Children","Day Care of Children (over 3s)","Local Authority","Bervie Out Of School Team","Montrose","DD10 0RU","Aberdeenshire Council","Yes","2002_4",NA,"Aberdeenshire",3.83,40,"Children","Mix",4,5,"Same","06/11/2019",NA,NA,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13/09/2019"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Bourtree Pre-school","Aberdeen","AB12 4UF","Bourtree Pre-school","No","2002_4",NA,"Aberdeenshire",2.36,30,"Children","Mix",3,4,"Same","17/01/2023",NA,NA,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"08/12/2022"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Glenbervie Pre-School","Stonehaven","AB39 3YT","Glenbervie Pre-School","No","2002_4",NA,"Aberdeenshire",0.68,20,"Children","Mix",4,5,"Same","28/11/2017",NA,NA,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/10/2017"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Inverbervie Pre-school Group","Montrose","DD10 0RD","Inverbervie Pre-school Group","No","2002_4",NA,"Aberdeenshire",3.67,40,"Children","Mix",4,5,"Same","26/06/2023",NA,NA,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","23/05/2023"
"Day Care of Children","Day Care of Children (over 3s)","Voluntary or Not for Profit","Laurencekirk Out Of School Club (loosc)","Laurencekirk","AB30 1EG","Laurencekirk Out Of School Club (loosc)","No","2002_4",NA,"Aberdeenshire",5.25,76,"Children","Mix",4,5,"Same","07/11/2019",NA,NA,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21/10/2019"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","The Hut - Lumphanan Preschool","Banchory","AB31 4SU","Lumphanan Preschool Playgroup","No","2002_4",NA,"Aberdeenshire",0.7,20,"Children","Mix",4,5,"Same","16/10/2019",NA,NA,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04/09/2019"
"Day Care of Children","Day Care of Children (over 3s)","Voluntary or Not for Profit","Newtonhill Out of School Club","Stonehaven","AB39 3UL","Newtonhill Out of School Club","No","2002_4",NA,"Aberdeenshire",4.68,80,"Children","Mix",4,4,"Same","26/06/2023",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,"Yes","Inspected but no requirements","12/05/2023"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Torphins Playgroup","Banchory","AB31 4JQ","Torphins Playgroup","No","2002_4",NA,"Aberdeenshire",2.85,18,"Children","Mix",4,4,"Same","13/11/2019",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/09/2019"
"Day Care of Children","Day Care of Children (over 3s)","Voluntary or Not for Profit","Auchnagatt & District Pre-School Centre","Aberdeenshire","AB41 8UX","Auchnagatt & District Pre-school Centre","No","2002_4",NA,"Aberdeenshire",3.1,24,"Children","Mix",4,4,"Same","09/08/2023",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","28/06/2023"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Auchterless Pre-school Playgroup","Turriff","AB53 8BG","Auchterless Pre-school Playgroup","No","2002_4",NA,"Aberdeenshire",2.55,20,"Children","Mix",4,4,"Improve","21/09/2023",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","Yes","Inspected but no requirements","30/08/2023"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Crudie Playgroup","Turriff","AB53 5QD","Crudie Playgroup","No","2002_4",NA,"Aberdeenshire",1.1,10,"Children","Mix",4,4,"Same","05/08/2021",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,NA,"18/06/2021"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Gardenstown Playschool","Banff","AB45 3HA","Gardenstown Playgroup","No","2002_4",NA,"Aberdeenshire",2.9,24,"Children","Mix",4,5,"Same","17/10/2019",NA,NA,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28/08/2019"
"Day Care of Children","Day Care of Children (over 3s)","Voluntary or Not for Profit","Hatton Playgroup","Peterhead","AB42 0RX","Hatton Playgroup","No","2002_4",NA,"Aberdeenshire",1.38,24,"Children","Mix",4,4,"Same","12/06/2017",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25/04/2017"
"Day Care of Children","Day Care of Children (under 3s)","Private","Kiddiwinks Nursery","Fraserburgh","AB43 9BF","Kiddiwinks Ltd","No","2002_4",NA,"Aberdeenshire",3.5,39,"Children","5 or 6",5,5,"Same","26/10/2018",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24/09/2018"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Auld Kirk Nursery","Fraserburgh","AB43 9HH","Auld Kirk Nursery","No","2002_4",NA,"Aberdeenshire",2.9,24,"Children","Mix",4,5,"Same","23/05/2023",NA,NA,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","20/04/2023"
"Day Care of Children","Day Care of Children (over 3s)","Local Authority","Oscars - Mintlaw Out of School Club","Peterhead","AB42 5HH","Aberdeenshire Council","Yes","2002_4",NA,"Aberdeenshire",1.86,24,"Children","Mix",4,4,"Same","07/01/2022",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,NA,"25/11/2021"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Rothienorman Pre-school","Inverurie","AB51 8UD","Rothienorman Pre-school","No","2002_4",NA,"Aberdeenshire",4,24,"Children","Mix",4,4,"Same","02/09/2020",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/01/2020"
"Day Care of Children","Day Care of Children (over 3s)","Private","Scoobys After School Club","Banff","AB45 1BL","Banff Out of School Hours Services, an Association","No","2002_4",NA,"Aberdeenshire",1.1,30,"Children","Mix",4,4,"Same","03/07/2023",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,"Yes","Inspected but no requirements","31/05/2023"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","St. Kanes Early Learning and Childcare Centre","Turriff",NA,"St. Kane's Pre-school Group","No","2002_4",NA,"Aberdeenshire",3,20,"Children","Mix",4,4,"Same","25/01/2022",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,NA,"30/11/2021"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Strichen Playgroup","Fraserburgh","AB43 6SX","Strichen Playgroup","No","2002_4",NA,"Aberdeenshire",1.1,17,"Children","5 or 6",5,5,"Same","29/10/2019",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16/09/2019"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Stuartfield Preschool Group","Peterhead","AB42 5DN","Stuartfield Preschool Group","No","2002_4",NA,"Aberdeenshire",3.84,24,"Children","Mix",4,4,"Same","09/05/2018",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14/03/2018"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Turriff Playgroup Ltd","Turriff","AB53 4WB","Turriff Playgroup Ltd","No","2002_4",NA,"Aberdeenshire",4.2,36,"Children","Mix",4,5,"Same","14/11/2019",NA,NA,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20/09/2019"
"Day Care of Children","Day Care of Children (over 3s)","Local Authority","Balmedie Out of School Club","Aberdeen","AB23 8YS","Aberdeenshire Council","Yes","2002_4",NA,"Aberdeenshire",2.85,48,"Children","Mix",3,4,"Same","22/02/2023",NA,NA,4,4,3,4,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","Inspected but no requirements",NA,"26/01/2023"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Denman Pre-school","Westhill","AB32 6QX","Denman Playgroup","No","2002_4",NA,"Aberdeenshire",2.1,20,"Children","Mix",4,4,"Same","08/12/2022",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"03/11/2022"
"Day Care of Children","Day Care of Children (over 3s)","Local Authority","Ellon Out Of School Club","Ellon","AB41 9AF","Aberdeenshire Council","Yes","2002_4",NA,"Aberdeenshire",1.9,80,"Children","Mix",4,5,"Same","03/09/2018",NA,NA,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17/07/2018"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Gordon Park Early Learning and Childcare","Ellon","AB41 9GN","Gordon Park ELC","No","2002_4",NA,"Aberdeenshire",1.1,14,"Children","Mix",4,5,"Same","06/11/2018",NA,NA,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04/10/2018"
"Day Care of Children","Day Care of Children (over 3s)","Voluntary or Not for Profit","Inverurie Out Of School Club","Inverurie","AB51 6AS","Inverurie Out of School Club","No","2002_4",NA,"Aberdeenshire",4,60,"Children","Mix",4,5,"Same","27/01/2023",NA,NA,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"08/12/2022"
"Day Care of Children","Day Care of Children (over 3s)","Voluntary or Not for Profit","Kemnay Breakfast and After School Club","Inverurie","AB51 5RA","Kemnay Breakfast and After School Club","No","2002_4",NA,"Aberdeenshire",2.78,24,"Children","Mix",4,4,"Same","20/06/2017",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17/05/2017"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Kiddiwinks Playgroup","Inverurie","AB51 9ND","Kiddiwinks Playgroup","No","2002_4",NA,"Aberdeenshire",3,15,"Children","Mix",3,4,"Same","27/09/2023",NA,NA,4,4,3,4,1,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","Inspected but no requirements","29/08/2023"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Kinellar Stars","Aberdeen","AB21 0JQ","Kinellar 2's Group and Playgroup an Association","No","2002_4",NA,"Aberdeenshire",1.25,48,"Children","Mix",3,3,"Same","16/12/2022",NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"27/09/2022"
"Day Care of Children","Day Care of Children (over 3s)","Voluntary or Not for Profit","Meldrum After School Klub (mask)","Inverurie","AB51 0BF","Meldrum After School Klub (mask)","No","2002_4",NA,"Aberdeenshire",4.05,30,"Children","Mix",4,4,"Same","23/05/2023",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","Inspected but no requirements","Inspected but no requirements","05/05/2023"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Monymusk Playgroup","Inverurie","AB51 7HJ","Monymusk Playgroup","No","2002_4",NA,"Aberdeenshire",2.8,24,"Children","5 or 6",5,5,"Same","13/07/2022",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"11/05/2022"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Newburgh Preschool","Ellon","AB41 6BL","Newburgh Playgroup","No","2002_4",NA,"Aberdeenshire",1.58,24,"Children","Mix",4,5,"Same","02/07/2018",NA,NA,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25/05/2018"
"Day Care of Children","Day Care of Children (over 3s)","Private","Newmachar After School Club","Aberdeen","AB21 0WB","Newmachar After School Club","No","2002_4",NA,"Aberdeenshire",1.72,32,"Children","Mix",4,4,"Same","03/07/2017",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24/05/2017"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Old Rayne Preschool","Insch","AB52 6RY","Old Rayne Preschool","No","2002_4",NA,"Aberdeenshire",2.95,24,"Children","Mix",4,4,"Same","05/05/2020",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27/02/2020"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Scout Hall Playgroup","Westhill","AB32 6RL","Scout Hall Playgroup","No","2002_4",NA,"Aberdeenshire",1.3,24,"Children","Mix",4,5,"Same","20/05/2019",NA,NA,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/05/2019"
"Day Care of Children","Day Care of Children (over 3s)","Voluntary or Not for Profit","St. Andrews Church Playgroup","Inverurie","AB51 3QJ","St. Andrews Church Playgroup","No","2002_4",NA,"Aberdeenshire",1.92,24,"Children","Mix",4,5,"Same","15/11/2019",NA,NA,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"04/09/2019"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Strathburn Park Playgroup","Inverurie","AB51 4GY","Strathburn Park Preschool","No","2002_4",NA,"Aberdeenshire",NA,50,"Children","Mix",4,4,"Same","21/12/2022",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"21/11/2022"
"Day Care of Children","Day Care of Children (under 3s)","Voluntary or Not for Profit","Udny Station Pre-School Playgroup","Ellon","AB41 6QJ","Udny Station Preschool and Playgroup","No","2002_4",NA,"Aberdeenshire",2.4,33,"Children","Mix",4,5,"Same","12/04/2019",NA,NA,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","01/09/2023"
"Day Care of Children","Day Care of Children (over 3s)","Local Authority","Westhill Kidz Klub","Westhill","AB32 6XZ","Aberdeenshire Council","Yes","2002_4",NA,"Aberdeenshire",7.66,104,"Children","Mix",4,5,"Same","09/11/2021",NA,NA,4,5,4,4,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,NA,"26/10/2021"
"Child Minding",NA,"Private","Anderson, Ann","Dundee",NA,NA,"No","2002_4",NA,"Angus",NA,6,"Children","Mix",3,4,"Same","20/06/2023",NA,NA,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","05/05/2023"
